issue_id,status,owner,priority.code,priority.code.numeric,reported.by,elapsed.time,comments,commenters,comments.by.nonowners,commenters.nonowners,owner.bugs,owner.comments,owner.comments.nonowned,total.vertices,c1_c1,c1_c2,c1_c3,c1_c4,c2_c2,c2_c3,c2_c4,c3_c3,c3_c4,c4_c4,repeat.edges,total.distinct,total.edges
121,Fix Released,Soren Hansen,Low,3,Soren Hansen,515.2489,8,4,6,3,67,367,220,4,8,0,0,0,0,0,0,0,0,0,5,1,6
122,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,536.1467,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
123,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,536.5358,8,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
124,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,556.2964,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
125,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,560.0461,6,3,2,2,56,309,44,3,5,0,0,0,0,0,0,0,0,0,3,0,3
126,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,560.5253,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
127,Fix Released,Ewan Mellor,Undecided,1,Ewan Mellor,605.4083,7,3,2,2,56,309,44,3,3,0,0,0,0,0,0,0,0,0,3,0,3
129,Fix Released,None,Undecided,1,Ryan Lane,789.5542,4,3,4,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,1,2,3
130,Fix Released,Vish Ishaya,Low,3,Chiradeep Vittal,770.9433,7,3,3,2,370,3863,2311,3,6,0,0,0,0,0,0,0,0,0,2,1,3
131,Fix Released,None,Low,3,Jesse Andrews,998.0767,8,3,8,3,15804,0,0,3,5,0,0,0,0,0,0,0,0,0,2,1,3
133,Fix Released,Jay Pipes,Low,3,Jay Pipes,2187.6939,8,3,2,2,181,2242,1440,3,4,0,0,0,0,0,0,0,0,0,3,0,3
134,Fix Released,justinsb,Low,3,justinsb,2349.1175,7,3,4,2,29,294,211,3,5,0,0,0,0,0,0,0,0,0,3,0,3
135,Fix Released,Jay Pipes,Medium,4,David Pravec,503.2522,10,4,5,3,181,2242,1440,4,15,0,0,0,0,0,0,0,0,0,4,2,6
136,Fix Released,Vish Ishaya,Medium,4,Vish Ishaya,119.5581,8,3,2,2,370,3863,2311,3,4,0,0,0,0,0,0,0,0,0,3,0,3
137,Fix Released,Vish Ishaya,Medium,4,Márton Kiss,1808.9347,8,5,6,4,370,3863,2311,5,11,0,0,0,0,0,0,0,0,0,6,4,10
139,Fix Released,None,Medium,4,Michael Gundlach,1973.5519,6,3,6,3,15804,0,0,3,5,0,0,0,0,0,0,0,0,0,2,1,3
140,Fix Released,None,Medium,4,Armando Migliaccio,1978.5353,6,3,6,3,15804,0,0,3,5,0,0,0,0,0,0,0,0,0,2,1,3
141,Fix Released,None,Medium,4,Michael Gundlach,1994.7733,6,3,6,3,15804,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,3
142,Fix Released,justinsb,Medium,4,justinsb,2299.1206,9,3,5,2,29,294,211,3,6,0,0,0,0,0,0,0,0,0,3,0,3
143,Fix Released,Vish Ishaya,High,5,Vish Ishaya,119.7325,8,3,2,2,370,3863,2311,3,4,0,0,0,0,0,0,0,0,0,3,0,3
144,Fix Released,Vish Ishaya,High,5,Jesse Andrews,2329.4019,11,7,10,6,370,3863,2311,7,36,0,0,0,0,0,0,0,0,0,12,9,21
145,Fix Released,Devin Carlen,High,5,Jesse Andrews,831.6581,9,3,9,3,23,2061,2019,3,4,0,0,0,0,0,0,0,0,0,3,0,3
146,Fix Released,None,Undecided,1,Vish Ishaya,142.3828,4,3,4,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3
147,Fix Released,Vish Ishaya,Low,3,Jay Pipes,483.7608,6,3,5,2,370,3863,2311,3,3,0,0,0,0,0,0,0,0,0,2,1,3
150,Fix Released,Soren Hansen,Medium,4,Jesse Andrews,550.0472,5,4,5,4,67,367,220,4,6,0,0,0,0,0,0,0,0,0,3,3,6
151,Fix Released,None,High,5,Vish Ishaya,147.3958,6,4,6,4,15804,0,0,4,8,0,0,0,0,0,0,0,0,0,6,0,6
153,Fix Released,None,Medium,4,Michael Gundlach,1996.2878,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
158,Fix Released,None,Medium,4,Michael Gundlach,1994.1694,9,3,9,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
159,Fix Released,None,Medium,4,Michael Gundlach,1994.1764,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
161,Fix Released,None,Medium,4,Michael Gundlach,1994.1181,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
162,Fix Released,None,Medium,4,Michael Gundlach,1994.1369,6,3,6,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
163,Fix Released,None,Medium,4,Michael Gundlach,1994.1583,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
164,Fix Released,None,Medium,4,Michael Gundlach,1994.0747,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
166,Fix Released,None,Medium,4,Michael Gundlach,1994.0692,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
167,Fix Released,None,Medium,4,Michael Gundlach,1975.925,5,3,5,3,15804,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3
176,Fix Released,None,High,5,Soren Hansen,842.5447,5,3,5,3,15804,0,0,3,3,0,0,0,0,0,0,0,0,0,2,1,3
178,Fix Released,Monty Taylor,Medium,4,Anne Gentle,4.9256,7,3,5,2,151,884,593,3,7,0,0,0,0,0,0,0,0,0,3,0,3
182,Fix Released,None,Undecided,1,Michael Gundlach,161.69,10,3,10,3,15804,0,0,3,10,0,0,0,0,0,0,0,0,0,2,1,3
186,Fix Released,Eldar Nugaev,Undecided,1,Andrey Brindeyev,145.8031,8,3,3,2,9,41,14,3,7,0,0,0,0,0,0,0,0,0,1,2,3
194,Fix Released,Rick Harris,Medium,4,Christopher MacGown,1887.7075,8,4,7,3,163,755,118,4,8,0,0,0,0,0,0,0,0,0,4,2,6
284,Fix Released,Jay Pipes,Critical,6,Ken Pepple,275.6497,7,3,3,2,181,2242,1440,3,1,5,0,0,0,0,0,0,0,0,1,2,3
286,Fix Released,Todd Willey,High,5,Devin Carlen,251.9139,6,4,5,3,19,66,30,4,6,1,0,0,0,0,0,0,0,0,4,2,6
291,Fix Released,Vish Ishaya,Critical,6,Ewan Mellor,744.8803,11,6,7,5,370,3863,2311,6,15,0,4,0,0,2,0,0,0,0,11,4,15
292,Fix Released,Vish Ishaya,Critical,6,Jordan Rinke,584.4689,11,6,7,5,370,3863,2311,6,16,0,2,0,0,2,0,0,0,0,8,7,15
293,Fix Released,Tushar Patil,Critical,6,Tushar Patil,307.5419,13,5,6,4,19,572,513,5,5,7,2,0,0,2,0,0,0,0,7,3,10
294,Fix Released,Todd Willey,Critical,6,Ryan Lucio,279.2128,11,6,8,5,19,66,30,6,10,8,6,0,0,0,0,0,0,0,13,2,15
296,Fix Released,Soren Hansen,High,5,Soren Hansen,2762.0342,13,4,6,3,67,367,220,4,12,1,0,0,0,2,0,0,0,0,2,4,6
297,Fix Released,Josh Kearney,High,5,Soren Hansen,2752.8467,10,5,7,4,73,294,52,5,10,0,4,0,0,2,0,0,0,0,8,2,10
298,Fix Released,Michael Gundlach,High,5,Michael Gundlach,2656.1889,6,3,3,2,10,52,37,3,1,0,4,0,0,0,0,0,0,0,3,0,3
300,Fix Released,Vish Ishaya,High,5,Avant Vyas,2308.8653,8,4,5,3,370,3863,2311,4,5,0,2,0,0,2,0,0,0,0,4,2,6
301,Fix Released,Vish Ishaya,High,5,Vish Ishaya,1984.1289,9,3,3,2,370,3863,2311,3,2,0,0,0,0,2,0,0,0,0,2,1,3
303,Fix Released,Chmouel Boudjnah,High,5,Chmouel Boudjnah,1486.1108,10,4,7,3,127,400,194,4,8,0,2,0,0,0,0,0,0,0,6,0,6
305,Fix Released,Vish Ishaya,High,5,Ryan Lane,763.3581,8,4,5,3,370,3863,2311,4,7,0,2,0,0,0,0,0,0,0,4,2,6
306,Fix Released,Anthony Young,High,5,Thierry Carrez,670.7183,10,3,9,2,67,335,160,3,7,0,0,0,0,2,0,0,0,0,1,2,3
